timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-06-01T07:13:17Z,20.44,430129152,7901855744,3.82,4.20,3.87,7901184,72888320,7181,0,0,0,133644288
2026-06-01T07:13:21Z,85.51,1005039616,7326945280,3.83,4.20,3.87,9568256,205725696,9642,0,45.92,35.92,441909248
2026-06-01T07:13:24Z,99.36,1456959488,6875025408,3.83,4.20,3.87,56020992,461017088,10000,1.44,72.41,13.72,497819648
2026-06-01T07:13:28Z,99.74,1901023232,6430961664,3.76,4.18,3.86,113405952,780021760,10000,6.85,67.33,13.83,541343744
2026-06-01T07:13:30Z,97.51,1919516672,6412468224,3.94,4.21,3.87,113684480,892137472,9872,5.45,56.39,13.40,588496896
2026-06-01T07:13:33Z,98.62,1967271936,6364712960,3.94,4.21,3.87,113684480,893394944,10000,0.39,55.99,37.13,534056960
2026-06-01T07:13:37Z,99.62,1998516224,6333468672,3.79,4.17,3.86,113684480,935620608,10000,0.76,73.72,12.67,556843008
2026-06-01T07:13:40Z,99.87,2175205376,6156779520,3.72,4.15,3.86,132579328,1035849728,10000,1.81,71.54,11.77,590680064
2026-06-01T07:13:43Z,99.30,2295828480,6036156416,3.72,4.15,3.86,132804608,1096482816,10000,6.97,72.25,14.64,602853376
2026-06-01T07:13:45Z,100.00,2304507904,6027476992,3.83,4.17,3.87,132808704,1096732672,10000,3.83,60.33,4.17,603189248
2026-06-01T07:13:50Z,98.99,2403287040,5928697856,3.83,4.17,3.87,132825088,1222680576,10000,3.79,84.09,9.85,603918336
2026-06-01T07:13:54Z,99.88,2513920000,5818064896,3.84,4.16,3.87,132952064,1271746560,10000,4.14,78.83,7.02,639098880
2026-06-01T07:13:57Z,100.00,2568450048,5763534848,3.77,4.15,3.86,132964352,1272016896,10000,4.19,73.76,6.73,678248448
2026-06-01T07:14:01Z,99.38,2646904832,5685080064,4.03,4.19,3.88,132964352,1314447360,10000,3.85,69.69,9.38,710619136
2026-06-01T07:14:03Z,81.54,2537558016,5794426880,4.03,4.19,3.88,110772224,1317765120,10000,7.30,44.09,3.98,710746112
2026-06-01T07:14:05Z,25.75,2588409856,5743575040,3.71,4.12,3.86,95240192,1317765120,10000,0.27,0,0,710746112
2026-06-01T07:14:07Z,29.98,2634436608,5697548288,3.71,4.12,3.86,95240192,1317765120,10000,0,0,0,710746112
2026-06-01T07:14:10Z,29.37,2637135872,5694849024,3.57,4.09,3.85,95240192,1317777408,0,0,0,0,0
