timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,proxy_pss_bytes,proxy_private_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-06-05T07:24:24Z,33.15,650272768,7682035712,1.56,2.46,2.35,8118272,116883456,145209344,233033728,5000,0,20.17,22.93,263630848
2026-06-05T07:24:29Z,98.45,1136533504,7195774976,1.67,2.47,2.36,80707584,551534592,602846208,630730752,5000,3.10,62.74,12.26,336994304
2026-06-05T07:24:33Z,97.85,1422651392,6909657088,1.94,2.51,2.37,129310720,620400640,615562240,605589504,5000,14.55,57.42,16.41,358846464
2026-06-05T07:24:39Z,98.04,1290510336,7041798144,1.94,2.50,2.37,129310720,491155456,526656512,577564672,5000,3.49,68.16,19.13,336678912
2026-06-05T07:24:43Z,98.94,1459851264,6872457216,2.19,2.54,2.39,136167424,607223808,575369216,576753664,5000,10.85,49.21,12.96,373661696
2026-06-05T07:24:48Z,97.61,1463787520,6868520960,2.33,2.57,2.39,133132288,616235008,588106752,565084160,5000,15.36,53.01,15.36,378638336
2026-06-05T07:24:53Z,98.05,1443962880,6888345600,2.31,2.56,2.39,128651264,598634496,593914880,593154048,5000,16.67,51.75,14.13,378707968
2026-06-05T07:24:57Z,97.71,1499402240,6832906240,2.44,2.58,2.40,131084288,651431936,651445248,636030976,5000,16.58,48.53,14.39,379310080
2026-06-05T07:25:02Z,96.75,1460563968,6871744512,2.65,2.62,2.41,128712704,612069376,607332352,606461952,0,16.13,53.68,15.69,0
