timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-06-02T05:20:24Z,40.48,565075968,7766908928,1.46,2.95,2.97,27267072,48726016,1000,3.97,29.10,41.27,103555072
2026-06-02T05:20:28Z,97.49,577187840,7754797056,1.98,3.04,3.00,35000320,49876992,1000,18.89,22.55,31.11,101261312
2026-06-02T05:20:32Z,98.60,611893248,7720091648,2.38,3.10,3.02,36384768,69611520,1000,22.34,31.09,40.23,101707776
2026-06-02T05:20:36Z,97.56,598028288,7733956608,2.75,3.17,3.04,29507584,69611520,1000,18.64,27.65,34.71,104099840
2026-06-02T05:20:40Z,97.86,609710080,7722274816,2.93,3.20,3.05,31440896,69611520,1000,22.26,29.94,41.26,102047744
2026-06-02T05:20:45Z,97.20,608071680,7723913216,3.10,3.23,3.06,40779776,69611520,1037,19.85,24.05,35.24,107282432
2026-06-02T05:20:49Z,97.61,596226048,7735758848,3.10,3.23,3.06,32444416,69611520,1000,21.73,25.94,37.43,110309376
2026-06-02T05:20:53Z,97.72,597716992,7734267904,3.49,3.31,3.09,36605952,69611520,1004,19.35,24.64,32.57,112730112
2026-06-02T05:20:57Z,98.46,606846976,7725137920,3.85,3.39,3.12,31588352,69611520,1000,23.29,29.99,40.80,108707840
2026-06-02T05:21:00Z,98.46,600395776,7731589120,3.95,3.41,3.13,31203328,69611520,0,19.34,23.96,35.23,0
