timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-06-02T06:04:44Z,40.43,2029498368,6302486528,1.47,2.75,3.10,17510400,1060425728,20000,1.06,31.65,41.49,708853760
2026-06-02T06:04:49Z,99.49,2680680448,5651304448,1.75,2.79,3.11,37965824,1154289664,20051,1.40,39.72,44.04,995835904
2026-06-02T06:04:52Z,99.89,3015524352,5316460544,1.93,2.81,3.12,88055808,1278713856,20396,5.14,51.80,24.37,1115078656
2026-06-02T06:04:56Z,97.58,3550015488,4781969408,2.26,2.86,3.13,206376960,1619521536,3103,7.79,55.84,18.52,1140637696
2026-06-02T06:05:01Z,99.15,3515781120,4816203776,2.26,2.86,3.13,206376960,1509154816,20003,5.58,43.27,38.91,1166135296
2026-06-02T06:05:06Z,99.44,3896090624,4435894272,2.56,2.91,3.15,206381056,2122076160,20125,1.90,50.11,31.03,1175863296
2026-06-02T06:05:12Z,99.90,4799733760,3532251136,2.91,2.98,3.17,273481728,2814160896,20006,5.90,60.13,23.88,1248358400
2026-06-02T06:05:17Z,98.83,5170839552,3161145344,3.54,3.12,3.21,398090240,2823602176,20099,14.63,41.38,25.58,1310330880
2026-06-02T06:05:23Z,99.26,5273378816,3058606080,3.74,3.16,3.23,398786560,2821906432,20032,18.61,41.57,31.57,1387552768
2026-06-02T06:05:27Z,98.91,5299875840,3032109056,4.24,3.28,3.26,411508736,2855477248,20000,16.76,33.70,25.18,1389535232
