timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-06-02T06:05:56Z,20.26,873160704,7458824192,2.85,3.03,3.18,8208384,120451072,6967,0,24.84,27.12,564879360
2026-06-02T06:06:00Z,98.51,1667846144,6664138752,3.26,3.11,3.21,78852096,448765952,9762,1.63,62.50,24.32,798728192
2026-06-02T06:06:04Z,98.32,2129690624,6202294272,3.48,3.16,3.22,116076544,651091968,11993,7.79,60.43,17.39,871751680
2026-06-02T06:06:09Z,98.32,2342383616,5989601280,3.44,3.16,3.22,135639040,898736128,15711,6.84,55.22,15.49,882937856
2026-06-02T06:06:14Z,99.51,2515111936,5816872960,3.41,3.15,3.22,135802880,1002745856,1507,5.18,66.57,17.01,883912704
2026-06-02T06:06:20Z,99.90,2452287488,5879697408,3.29,3.13,3.21,123154432,993677312,7928,1.58,74.28,21.76,797241344
2026-06-02T06:06:24Z,99.73,2296799232,6035185664,3.51,3.18,3.23,111112192,658534400,10341,2.96,58.21,14.62,797376512
2026-06-02T06:06:29Z,99.15,2324353024,6007631872,3.63,3.21,3.24,123330560,755474432,13928,5.70,54.18,22.67,911048704
2026-06-02T06:06:33Z,99.35,2582540288,5749444608,3.58,3.21,3.23,137531392,943050752,15487,4.25,69.28,12.09,962850816
2026-06-02T06:06:38Z,99.89,2927857664,5404127232,3.77,3.25,3.25,137768960,1148198912,18689,2.60,62.95,20.48,1043337216
2026-06-02T06:06:43Z,98.83,3029233664,5302751232,3.79,3.27,3.25,137768960,1319579648,18689,2.11,76.06,9.86,1056301056
2026-06-02T06:06:49Z,99.45,3248533504,5083451392,3.81,3.28,3.26,139939840,1426911232,19520,2.76,75.85,7.93,1091489792
2026-06-02T06:06:53Z,100.00,3360899072,4971085824,3.66,3.26,3.25,117809152,1607536640,20000,4.70,65.27,14.09,1093197824
2026-06-02T06:06:56Z,63.70,3400306688,4931678208,3.66,3.26,3.25,117809152,1607536640,20000,0.13,10.12,0,1093197824
2026-06-02T06:06:58Z,36.00,3401818112,4930166784,3.37,3.20,3.23,117809152,1607536640,20000,0,0,0,1093197824
2026-06-02T06:07:00Z,30.38,3374288896,4957696000,3.18,3.17,3.22,117809152,1607593984,20000,0.22,0,0,1093197824
2026-06-02T06:07:03Z,33.13,2494382080,5837602816,3.18,3.17,3.22,117809152,1608781824,0,0,0.80,0,0
