timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established
2026-05-31T12:09:04Z,1.00,391360512,7940624384,2.98,2.41,2.48,3964928,73990144,0
2026-05-31T12:09:05Z,3.90,393465856,7938519040,2.98,2.41,2.48,3915776,74022912,0
2026-05-31T12:09:06Z,71.00,629837824,7702147072,2.98,2.41,2.48,3915776,169541632,0
2026-05-31T12:09:08Z,85.99,797011968,7534972928,2.98,2.41,2.48,3784704,280494080,0
2026-05-31T12:09:09Z,96.68,906645504,7425339392,2.98,2.41,2.48,3923968,295874560,0
2026-05-31T12:09:10Z,83.98,920772608,7411212288,3.06,2.44,2.49,3915776,299683840,0
2026-05-31T12:09:11Z,83.17,908664832,7423320064,3.06,2.44,2.49,3887104,299008000,0
2026-05-31T12:09:12Z,81.25,919547904,7412436992,3.06,2.44,2.49,3891200,307265536,0
2026-05-31T12:09:13Z,78.74,921747456,7410237440,3.06,2.44,2.49,3891200,307281920,0
2026-05-31T12:09:14Z,82.04,926261248,7405723648,3.06,2.44,2.49,3862528,310808576,0
2026-05-31T12:09:15Z,83.82,923922432,7408062464,3.22,2.48,2.50,3895296,310448128,0
2026-05-31T12:09:16Z,76.10,910802944,7421181952,3.22,2.48,2.50,3846144,305733632,0
2026-05-31T12:09:17Z,88.04,964141056,7367843840,3.22,2.48,2.50,3899392,345874432,0
2026-05-31T12:09:18Z,86.96,1023131648,7308853248,3.22,2.48,2.50,3899392,431292416,0
2026-05-31T12:09:19Z,95.79,1040904192,7291080704,3.52,2.55,2.53,3846144,436322304,0
2026-05-31T12:09:20Z,88.21,1055776768,7276208128,3.52,2.55,2.53,3887104,443437056,0
2026-05-31T12:09:21Z,85.86,1057812480,7274172416,3.52,2.55,2.53,3923968,442736640,0
2026-05-31T12:09:22Z,84.39,1065287680,7266697216,3.52,2.55,2.53,3903488,447873024,0
2026-05-31T12:09:23Z,83.09,1074479104,7257505792,3.52,2.55,2.53,3833856,453758976,0
2026-05-31T12:09:24Z,83.66,1070747648,7261237248,3.56,2.58,2.53,3846144,449523712,0
2026-05-31T12:09:25Z,81.25,1064767488,7267217408,3.56,2.58,2.53,3895296,443580416,0
2026-05-31T12:09:26Z,81.77,1064013824,7267971072,3.56,2.58,2.53,3899392,442511360,0
2026-05-31T12:09:27Z,81.55,1069129728,7262855168,3.56,2.58,2.53,3891200,444076032,0
2026-05-31T12:09:28Z,81.95,1071693824,7260291072,3.56,2.58,2.53,3891200,447815680,0
2026-05-31T12:09:29Z,81.13,1077383168,7254601728,3.83,2.65,2.56,3895296,454393856,0
2026-05-31T12:09:30Z,92.65,1074548736,7257436160,3.83,2.65,2.56,3887104,448339968,0
2026-05-31T12:09:31Z,81.07,1081405440,7250579456,3.83,2.65,2.56,3903488,450359296,0
2026-05-31T12:09:32Z,80.49,1074294784,7257690112,3.83,2.65,2.56,3788800,448487424,0
2026-05-31T12:09:33Z,78.61,1079013376,7252971520,3.83,2.65,2.56,3788800,448884736,0
2026-05-31T12:09:35Z,80.39,1076690944,7255293952,3.93,2.69,2.57,3928064,449466368,0
2026-05-31T12:09:36Z,82.76,1082507264,7249477632,3.93,2.69,2.57,3923968,453455872,0
2026-05-31T12:09:37Z,79.62,1077395456,7254589440,3.93,2.69,2.57,3883008,452198400,0
2026-05-31T12:09:38Z,86.12,1074315264,7257669632,3.93,2.69,2.57,3940352,448589824,0
2026-05-31T12:09:39Z,76.85,1078652928,7253331968,3.93,2.69,2.57,3928064,449675264,0
2026-05-31T12:09:40Z,83.50,1077329920,7254654976,3.93,2.71,2.58,3788800,446255104,0
2026-05-31T12:09:41Z,78.26,1075073024,7256911872,3.93,2.71,2.58,3854336,442761216,0
2026-05-31T12:09:42Z,78.26,1076756480,7255228416,3.93,2.71,2.58,3903488,448577536,0
2026-05-31T12:09:43Z,84.73,1072500736,7259484160,3.93,2.71,2.58,3850240,445308928,0
2026-05-31T12:09:44Z,82.21,1078235136,7253749760,3.93,2.71,2.58,3788800,444821504,0
2026-05-31T12:09:45Z,82.27,1082245120,7249739776,4.02,2.75,2.59,3891200,450310144,0
2026-05-31T12:09:46Z,81.16,1080868864,7251116032,4.02,2.75,2.59,3842048,447352832,0
2026-05-31T12:09:47Z,20.39,825892864,7506092032,4.02,2.75,2.59,3928064,438648832,0
2026-05-31T12:09:48Z,3.41,826691584,7505293312,4.02,2.75,2.59,3854336,438648832,0
