timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established
2026-05-31T17:39:27Z,1.00,334635008,7997349888,4.08,3.77,3.26,3903488,74657792,0
2026-05-31T17:39:28Z,4.78,335667200,7996317696,4.08,3.77,3.26,3850240,74584064,0
2026-05-31T17:39:29Z,90.59,809652224,7522332672,4.08,3.77,3.26,3923968,314597376,4106
2026-05-31T17:39:30Z,99.56,919838720,7412146176,3.91,3.74,3.25,3874816,364199936,4662
2026-05-31T17:39:31Z,98.72,1168150528,7163834368,3.91,3.74,3.25,3891200,516890624,4553
2026-05-31T17:39:32Z,92.50,1254993920,7076990976,3.91,3.74,3.25,3850240,536973312,4520
2026-05-31T17:39:34Z,93.02,1261125632,7070859264,3.91,3.74,3.25,3923968,537481216,4520
2026-05-31T17:39:35Z,92.98,1283850240,7048134656,3.91,3.74,3.25,3788800,539783168,4520
2026-05-31T17:39:36Z,91.03,1287540736,7044444160,4.32,3.83,3.28,3874816,541384704,4520
2026-05-31T17:39:37Z,83.48,1301192704,7030792192,4.32,3.83,3.28,3850240,540921856,4520
2026-05-31T17:39:38Z,78.22,1284423680,7047561216,4.32,3.83,3.28,3903488,536682496,4520
2026-05-31T17:39:39Z,93.27,1211990016,7119994880,4.32,3.83,3.28,3796992,498581504,4001
2026-05-31T17:39:41Z,100.00,1231671296,7100313600,4.46,3.86,3.30,3919872,584577024,4521
2026-05-31T17:39:42Z,97.32,1417175040,6914809856,4.46,3.86,3.30,3891200,747057152,4760
2026-05-31T17:39:43Z,96.80,1512009728,6819975168,4.46,3.86,3.30,3932160,805298176,4760
2026-05-31T17:39:44Z,93.81,1530761216,6801223680,4.46,3.86,3.30,3059712,794234880,4760
2026-05-31T17:39:45Z,82.23,1537175552,6794809344,4.50,3.88,3.31,3911680,797995008,4760
2026-05-31T17:39:46Z,87.44,1536430080,6795554816,4.50,3.88,3.31,3964928,798388224,4760
2026-05-31T17:39:48Z,89.59,1542914048,6789070848,4.50,3.88,3.31,3891200,807628800,4760
2026-05-31T17:39:49Z,93.53,1556484096,6775500800,4.50,3.88,3.31,3842048,808177664,4760
2026-05-31T17:39:50Z,92.53,1571647488,6760337408,4.54,3.90,3.32,3899392,809193472,4760
2026-05-31T17:39:51Z,88.79,1577717760,6754267136,4.54,3.90,3.32,3891200,816672768,4760
2026-05-31T17:39:52Z,91.32,1565421568,6766563328,4.54,3.90,3.32,3928064,797880320,4760
2026-05-31T17:39:53Z,89.91,1582440448,6749544448,4.54,3.90,3.32,3911680,801763328,4760
2026-05-31T17:39:55Z,91.56,1551622144,6780362752,4.54,3.90,3.32,3891200,803188736,4760
2026-05-31T17:39:56Z,92.44,1576382464,6755602432,4.82,3.97,3.34,3842048,817545216,4760
2026-05-31T17:39:57Z,89.08,1574043648,6757941248,4.82,3.97,3.34,3854336,814014464,4760
2026-05-31T17:39:58Z,82.22,1566031872,6765953024,4.82,3.97,3.34,3895296,806281216,4760
2026-05-31T17:39:59Z,92.07,1578700800,6753284096,4.82,3.97,3.34,3870720,814280704,4760
2026-05-31T17:40:00Z,85.65,1580843008,6751141888,4.99,4.02,3.36,3911680,810504192,4760
2026-05-31T17:40:01Z,89.52,1577127936,6754856960,4.99,4.02,3.36,3854336,809992192,4760
2026-05-31T17:40:03Z,87.07,1581707264,6750277632,4.99,4.02,3.36,3928064,811454464,4760
2026-05-31T17:40:04Z,81.03,1585672192,6746312704,4.99,4.02,3.36,3776512,814219264,4760
2026-05-31T17:40:05Z,84.91,1565097984,6766886912,4.91,4.02,3.37,3870720,806785024,4760
2026-05-31T17:40:06Z,85.39,1571053568,6760931328,4.91,4.02,3.37,3854336,803250176,4760
2026-05-31T17:40:07Z,86.36,1570881536,6761103360,4.91,4.02,3.37,3866624,808103936,4760
2026-05-31T17:40:08Z,87.67,1592885248,6739099648,4.91,4.02,3.37,3792896,819990528,4760
2026-05-31T17:40:09Z,68.00,1190260736,7141724160,4.91,4.02,3.37,3911680,821608448,0
2026-05-31T17:40:10Z,4.67,1186471936,7145512960,4.52,3.95,3.35,3858432,821497856,0
