timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-05-31T19:38:45Z,22.05,433238016,7898746880,4.12,4.05,3.51,7917568,80998400,5008,0.00,0.00,0.00,144273408
2026-05-31T19:38:49Z,88.41,849190912,7482793984,4.03,4.03,3.50,23298048,224088064,5356,0.41,59.21,27.33,269688832
2026-05-31T19:38:53Z,99.60,1346568192,6985416704,4.11,4.05,3.51,109408256,570601472,5356,4.24,66.45,12.86,359612416
2026-05-31T19:38:56Z,98.96,1484877824,6847107072,4.11,4.05,3.51,138457088,632569856,5007,16.56,52.54,14.86,377425920
2026-05-31T19:38:59Z,99.83,1493770240,6838214656,4.18,4.07,3.52,138457088,633233408,5012,7.35,59.10,22.04,308109312
2026-05-31T19:39:02Z,99.83,1404547072,6927437824,4.65,4.16,3.55,122957824,626827264,5192,2.25,70.29,12.78,334757888
2026-05-31T19:39:05Z,99.01,1508225024,6823759872,4.65,4.16,3.55,141135872,657494016,5192,15.54,53.39,15.96,378724352
2026-05-31T19:39:08Z,98.30,1549496320,6782488576,4.43,4.13,3.55,141377536,674828288,5192,16.98,50.00,12.50,379219968
2026-05-31T19:39:12Z,97.74,1494863872,6837121024,4.43,4.13,3.55,127954944,637976576,5192,15.84,53.91,17.90,390778880
2026-05-31T19:39:16Z,99.08,1480196096,6851788800,4.56,4.16,3.56,133439488,601874432,5192,16.75,53.83,16.36,396410880
2026-05-31T19:39:18Z,99.25,1463840768,6868144128,4.84,4.22,3.58,127090688,606052352,5192,16.81,51.06,14.20,397570048
2026-05-31T19:39:22Z,97.75,1440702464,6891282432,4.84,4.22,3.58,132866048,590782464,5192,17.13,52.77,15.05,399282176
2026-05-31T19:39:24Z,98.86,1480806400,6851178496,4.69,4.20,3.58,130392064,649375744,5192,16.48,48.61,14.68,395153408
2026-05-31T19:39:26Z,97.65,1086062592,7245922304,4.95,4.27,3.60,130842624,658411520,0,16.43,54.87,-224.73,0
