timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-05-31T19:35:05Z,16.36,345333760,7986651136,4.09,3.54,3.21,7639040,29818880,114,0.00,-1192.73,0.00,0
2026-05-31T19:35:09Z,79.53,803753984,7528230912,4.09,3.54,3.22,55123968,125812736,4785,2.63,39.18,46.20,368504832
2026-05-31T19:35:13Z,100.00,1001701376,7330283520,4.32,3.60,3.24,54849536,144969728,7435,10.97,38.55,37.17,481644544
2026-05-31T19:35:16Z,100.00,1060757504,7271227392,4.32,3.60,3.24,40890368,161083392,573,15.72,38.40,36.86,530767872
2026-05-31T19:35:19Z,99.84,1085333504,7246651392,4.45,3.64,3.25,32686080,161083392,5047,9.48,42.97,37.44,523833344
2026-05-31T19:35:22Z,100.00,1188806656,7143178240,4.58,3.68,3.27,33968128,164909056,6580,5.04,39.02,34.47,596910080
2026-05-31T19:35:24Z,100.00,1225981952,7106002944,4.58,3.68,3.27,33996800,178442240,6922,7.73,43.41,29.53,653012992
2026-05-31T19:35:27Z,100.00,1228963840,7103021056,4.85,3.75,3.29,47058944,186064896,7459,13.35,40.59,36.56,639492096
2026-05-31T19:35:31Z,98.94,1190068224,7141916672,4.85,3.75,3.29,33226752,185950208,7430,15.67,32.04,36.97,603394048
2026-05-31T19:35:34Z,99.39,1177677824,7154307072,4.87,3.77,3.30,34983936,185921536,6855,17.40,32.82,40.61,586522624
2026-05-31T19:35:37Z,98.54,1176117248,7155867648,5.04,3.83,3.32,56717312,185888768,6323,16.45,30.28,38.57,577372160
2026-05-31T19:35:40Z,99.07,1128628224,7203356672,5.04,3.83,3.32,36618240,185888768,6323,19.17,31.99,39.72,559497216
2026-05-31T19:35:43Z,99.04,1137364992,7194619904,4.95,3.83,3.33,32878592,185888768,6323,18.18,25.04,35.89,561389568
2026-05-31T19:35:46Z,98.85,1139081216,7192903680,5.12,3.88,3.35,54587392,185806848,0,18.77,32.18,43.87,0
