timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-05-31T19:43:29Z,21.67,405594112,7926390784,3.36,3.86,3.60,7962624,29888512,556,0.00,0.00,0.00,0
2026-05-31T19:43:31Z,77.91,986550272,7345434624,3.36,3.86,3.60,14008320,194326528,6755,0.24,31.83,39.19,430776320
2026-05-31T19:43:37Z,99.15,1481551872,6850433024,3.49,3.88,3.60,81047552,297152512,11336,6.99,48.31,40.04,778145792
2026-05-31T19:43:40Z,100.00,2288168960,6043815936,3.77,3.93,3.62,109850624,345985024,15318,7.94,36.52,37.80,1296031744
2026-05-31T19:43:43Z,100.00,2194968576,6137016320,3.79,3.94,3.62,109850624,331644928,1300,3.59,45.48,39.60,1339510784
2026-05-31T19:43:47Z,100.00,2221752320,6110232576,3.79,3.94,3.62,78352384,329490432,8094,3.37,44.28,37.37,1325252608
2026-05-31T19:43:52Z,100.00,2224152576,6107832320,3.89,3.95,3.63,103153664,347148288,12070,3.55,38.76,43.34,1200279552
2026-05-31T19:43:56Z,99.80,2722328576,5609656320,4.22,4.02,3.66,122941440,371732480,13059,9.42,39.08,44.09,1594941440
2026-05-31T19:44:00Z,99.89,2954993664,5376991232,4.28,4.04,3.66,122974208,371965952,11355,4.48,40.30,32.73,1853095936
2026-05-31T19:44:04Z,100.00,2976944128,5355040768,4.26,4.04,3.67,42418176,371965952,12173,10.64,39.50,40.67,1897271296
2026-05-31T19:44:08Z,100.00,3088838656,5243146240,4.40,4.07,3.68,124305408,371965952,15474,20.12,33.37,34.77,1984094208
2026-05-31T19:44:11Z,99.73,3380719616,4951265280,4.40,4.07,3.68,115019776,377470976,14330,4.99,38.54,38.01,2222788608
2026-05-31T19:44:14Z,100.00,3535319040,4796665856,4.53,4.10,3.69,115064832,503943168,10389,2.02,46.21,42.33,2231840768
2026-05-31T19:44:16Z,99.84,1073459200,7258525696,4.53,4.10,3.69,115064832,364789760,1,5.75,37.58,-535.09,0
