timestamp,cpu_pct,mem_used_bytes,mem_available_bytes,load1,load5,load15,bench_rss_bytes,proxy_rss_bytes,conn_established,app_cpu_pct,proxy_cpu_pct,loadgen_cpu_pct,loadgen_rss_bytes
2026-05-31T18:29:19Z,22.96,363356160,7968628736,0.01,0.03,0.17,19726336,57585664,1712,0.00,0.00,0.00,3543040
2026-05-31T18:29:22Z,92.33,595582976,7736401920,0.01,0.03,0.17,30351360,89665536,2897,9.20,39.52,0.00,3543040
2026-05-31T18:29:25Z,98.72,597426176,7734558720,0.65,0.16,0.21,30035968,89776128,2646,19.33,27.32,0.00,3543040
2026-05-31T18:29:28Z,98.17,588156928,7743827968,0.65,0.16,0.21,29704192,89776128,1000,20.18,25.87,0.00,3543040
2026-05-31T18:29:31Z,98.07,547155968,7784828928,1.24,0.30,0.25,28516352,89268224,1970,16.11,34.68,0.00,3543040
2026-05-31T18:29:34Z,98.46,549429248,7782555648,1.46,0.36,0.27,30793728,89268224,1962,18.64,25.89,0.00,3543040
2026-05-31T18:29:37Z,96.65,560488448,7771496448,1.46,0.36,0.27,30932992,89268224,1962,19.54,26.94,0.00,3543040
2026-05-31T18:29:41Z,98.25,562376704,7769608192,1.98,0.48,0.31,31260672,89268224,1962,22.45,28.82,0.00,3543040
2026-05-31T18:29:44Z,98.05,558440448,7773544448,2.38,0.59,0.35,30031872,89268224,1962,21.48,26.36,0.00,3543040
2026-05-31T18:29:47Z,98.71,566956032,7765028864,2.38,0.59,0.35,30580736,89268224,1962,20.20,22.78,0.00,3543040
2026-05-31T18:29:50Z,98.25,559910912,7772073984,2.83,0.72,0.39,31465472,89268224,1962,20.94,28.45,0.00,3543040
2026-05-31T18:29:54Z,97.74,572768256,7759216640,3.09,0.80,0.42,38785024,89268224,1962,21.01,22.74,0.00,3543040
2026-05-31T18:29:57Z,97.82,566996992,7764987904,3.09,0.80,0.42,30707712,89268224,1962,21.66,27.47,0.00,3543040
2026-05-31T18:29:59Z,94.69,407760896,7924224000,3.32,0.89,0.45,30158848,89001984,0,18.29,21.39,0.00,0
